S. No,Section,Feature,Implementation,Phase,Ready to build,Notes,,
1.01,Lead Capture & Sources,Website forms and landing page form integrations,We will use Next.js form endpoints mapping directly to Supabase to establish the initial lead record.,Core,Yes,,, 
1.02,Lead Capture & Sources,Meta Lead Ads direct sync (Facebook and Instagram lead forms flowing into the CRM in real time),Handled natively via Go backend webhook listeners.,Marketing,Yes,,, 
1.03,Lead Capture & Sources,WhatsApp Business inbound message capture as new leads,"Utilize Convonite's 'Chat Automations' to create an inbound lead-capture bot. When a new user messages, the bot collects basic info (Name/Email) and fires a webhook to the Go backend, which creates the lead record in Supabase and logs the initial interaction on the timeline.",Integrations,Yes,,, 
1.04,Lead Capture & Sources,"Manual lead entry for offline events, walk-ins, and IG DM enquiries","We will build a simple, dedicated form within the Admin Portal UI for sales/admin users to quickly input required lead data directly into Supabase.",Core,Yes,,, 
1.05,Lead Capture & Sources,UTM parameter capture on every form for source attribution,We will implement standard URL parsers on all Next.js form endpoints to capture and store the UTM parameters alongside the lead record in Supabase.,Core,Yes,,, 
1.06,Lead Capture & Sources,API endpoint to ingest leads from any third-party source,"A robust and documented API endpoint within the dedicated Go backend will accept standardized JSON payloads, enabling other systems (e.g., event tools, external partners) to push leads.",Core,Yes,,, 
1.07,Lead Capture & Sources,QR code-based lead capture at online events,This feature will leverage the existing Next.js form implementation and will simply link a QR code to that landing page URL.,Core,Yes,,, 
1.08,Lead Capture & Sources,CSV Data Migration,"Admin Portal includes a bulk CSV import tool to migrate existing Zoho contacts, historical payment statuses, and active cohort assignments into Supabase prior to the core launch.",Core,Yes,Added this to get historical data,, 
2.01,Lead Database & Manangement,"Central contact and lead database with custom fields specific to SBM with segregation for batches, program and batch","Supabase PostgreSQL will serve as the central, relational database, utilizing custom table schemas to house contact data and manage the segregation of users by program and specific batch (cohort). This establishes the single source of truth.",Core,Yes,,, 
2.02,Lead Database & Manangement,Automatic deduplication on email and phone number,Deduplication is handled natively by setting unique constraints on the email and phone number fields within the Supabase PostgreSQL database schema.,Core,Yes,,, 
2.03,Lead Database & Manangement,Tagging and labelling system,"We will implement tagging and labeling using a JSONB column on the contact record in Supabase, allowing for flexible, non-schema-enforced metadata. The Admin UI will provide a user interface for managing and applying these tags.",Core,Yes,,, 
2.04,Lead Database & Manangement,"Lead source attribution (channel, campaign, ad set)","Next.js frontend passes captured UTM parameters and Meta identifiers (fbp/fbc) to the Go backend, which permanently maps the source, medium, and campaign data to the user's Supabase profile for accurate downstream ROI reporting.",Core,Yes,,, 
2.05,Lead Database & Manangement,Do-not-contact list and unsubscribe tracking,"A dedicated boolean flag (e.g., is_unsubscribed) is maintained on the contact record. The Go backend will check this flag before any communication is initiated. The flag will be updated via webhooks from communication tools (Resend, Convonite) or from the user management interface.",Core,Yes,,, 
2.06,Lead Database & Manangement,Consent capture for DPDP Act compliance,"We will capture and log explicit consent and its timestamp during the form submission process (Next.js) or via API ingestion, storing a boolean has_consent flag on the lead record to ensure regulatory compliance.",Core,Yes,,, 
2.07,Lead Database & Manangement,Lead scoring (demographic plus behavioural signals),"We will implement basic, rules-based lead scoring logic in the Go backend. This engine combines demographic data with early behavioral signals (e.g., website activity) to calculate and store a score on the contact record, providing a quick signal of lead quality.",Marketing,Pending,Need details for rules,, 
2.08,Lead Database & Manangement,Machine-learning-based lead scoring trained on historical conversion data,"Deferred. While historical Zoho data is being migrated (1.08), building and tuning a bespoke Machine Learning pipeline is a dedicated data science effort outside the scope of the June launch. Focus for V1 is on rules-based lead prioritization.",Future,Future,,, 
2.09,Lead Database & Manangement,Data enrichment to auto-fill missing fields where possible,"Go backend implements a deterministic matching engine (validating by email or phone) for all inbound leads. If an existing profile is found, the system automatically enriches it by appending the new inbound source (e.g., IG DM, Webinar) to the profile's JSONB tags array. This ensures a unified Customer 360 view of multi-channel engagement without generating duplicate records.",Core,Yes,,, 
3.01,"Segmentation, Lifecycle & Routing","Bucketing by program interest, geography, and lifecycle stage","We will use specific columns in the Supabase contact table (e.g., program_interest, geography, lifecycle_stage) to enable comprehensive segmentation. The Admin UI will provide robust filtering and export capabilities based on these fields.",Core,Yes,,, 
3.02,"Segmentation, Lifecycle & Routing","Standard lifecycle stages: Inquiry, Engaged, Registered, Active, Completed, Renewal Prospect, Lost",These standardized values will be defined and enforced by the Go backend and represented as an ENUM in the Supabase schema to ensure data integrity and consistent application across all touchpoints.,Core,Yes,,, 
3.03,"Segmentation, Lifecycle & Routing",Rules-based automated movement between stages based on actions or time triggers,"Automated movement is handled by Supabase Edge Functions. These functions are configured to listen for key database events (e.g., successful payment, program completion) and instantly update the lifecycle_stage field on the corresponding contact record. This maintains real-time user status.",Core,Yes,,, 
4.01,Communication Hub,"Email campaign builder with rich media templates and scheduling, can it also be made compatible with Canva like platforms","We will build a Template-Based Broadcast Module in the Next.js Admin Portal. Marketing can select from branded React Email templates and insert custom text/images (hosted on Supabase Storage). All emails, including mass blasts to leads, will be deployed via Resend Broadcasts.",Marketing,Pending,Need details on emails to design templates,, 
4.02,Communication Hub,"WhatsApp Business API integration for broadcasts, automated journeys, and one-to-one conversations","Integration will be executed through Convonite. The Go backend will manage API connectivity for broadcasts (handling batching and throttling) and trigger automated sequences via Supabase Edge Functions. One-to-one conversations will be managed through Convonite’s native Messages interface; the CRM will capture and log major interaction events (e.g., Lead Created, Opt-in/Opt-out) to maintain a clean operational history without database bloat.",Integrations,Yes,,, 
